GEO_ID,NAME,totalHHS,hascomputer,dialup,broadband,nointernet,nocomputer,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpoverty,hascomputerPerc,dialupPerc,broadbandPerc,nointernetPerc,nocomputerPerc
1400000US53033000100,"Census Tract 1, King County, Washington",3899,3546,0,3333,213,353,6825,67.5,6.9,16.9,90.94639651,0,85.4834573,5.462939215,9.053603488
1400000US53033000200,"Census Tract 2, King County, Washington",3693,3563,0,3225,338,130,7260,68,5.9,14.3,96.4798267,0,87.32737612,9.152450582,3.520173301
1400000US53033000300,"Census Tract 3, King County, Washington",1159,1140,0,1103,37,19,2517,74.1,0.7,9.2,98.36065574,0,95.16824849,3.192407248,1.639344262
1400000US53033000401,"Census Tract 4.01, King County, Washington",3842,3244,0,2931,313,598,6010,61.4,3,11,84.43519001,0,76.28839146,8.146798542,15.56480999
1400000US53033000402,"Census Tract 4.02, King County, Washington",2373,2151,15,1959,177,222,4801,67.7,3.5,11.1,90.64475348,0.632111252,82.55372946,7.458912769,9.355246523
1400000US53033000500,"Census Tract 5, King County, Washington",1268,1233,17,1197,19,35,2612,63.7,1.1,100,97.23974763,1.340694006,94.40063091,1.498422713,2.760252366
1400000US53033000600,"Census Tract 6, King County, Washington",3431,3146,0,2844,302,285,6684,71,2.9,8.7,91.69338385,0,82.89128534,8.802098514,8.306616147
1400000US53033000700,"Census Tract 7, King County, Washington",2249,2126,0,1920,206,123,4493,74,3.7,16.6,94.53090262,0,85.37127612,9.159626501,5.469097377
1400000US53033000800,"Census Tract 8, King County, Washington",1116,1057,0,1047,10,59,2362,67,4.4,24.5,94.71326165,0,93.8172043,0.896057348,5.286738351
1400000US53033000900,"Census Tract 9, King County, Washington",861,833,0,813,20,28,1723,65.8,4.1,32,96.74796748,0,94.42508711,2.322880372,3.25203252
1400000US53033001000,"Census Tract 10, King County, Washington",769,726,0,690,36,43,1610,69.7,8.8,44.8,94.4083225,0,89.72691808,4.681404421,5.591677503
1400000US53033001100,"Census Tract 11, King County, Washington",1039,992,0,919,73,47,2333,68.2,2.5,12,95.47641963,0,88.45043311,7.025986526,4.523580366
1400000US53033001200,"Census Tract 12, King County, Washington",3762,3294,0,3060,234,468,6084,62.7,7.5,34.3,87.55980861,0,81.33971292,6.220095694,12.44019139
1400000US53033001300,"Census Tract 13, King County, Washington",2333,2146,0,2017,129,187,4205,75.9,3,21.4,91.98456922,0,86.45520789,5.529361337,8.015430776
1400000US53033001400,"Census Tract 14, King County, Washington",2386,2276,0,2189,87,110,4795,81.1,2.9,0,95.38977368,0,91.74350377,3.646269908,4.61022632
1400000US53033001500,"Census Tract 15, King County, Washington",1147,1088,16,1035,37,59,2338,68.8,2,100,94.85614647,1.39494333,90.23539669,3.225806452,5.143853531
1400000US53033001600,"Census Tract 16, King County, Washington",1873,1807,0,1734,73,66,3846,69.4,4,41.3,96.47624132,0,92.57875067,3.897490657,3.523758676
1400000US53033001701,"Census Tract 17.01, King County, Washington",2016,1936,0,1871,65,80,3547,82.3,5.9,38.2,96.03174603,0,92.80753968,3.224206349,3.968253968
1400000US53033001702,"Census Tract 17.02, King County, Washington",2356,2213,0,2058,155,143,4328,71.2,2.9,0,93.93039049,0,87.35144312,6.578947368,6.069609508
1400000US53033001800,"Census Tract 18, King County, Washington",2311,2262,0,2181,81,49,4534,85.4,3.7,2.4,97.87970576,0,94.37472955,3.504976201,2.120294245
1400000US53033001900,"Census Tract 19, King County, Washington",2286,2148,0,2002,146,138,4356,74.4,4,29.7,93.96325459,0,87.57655293,6.386701662,6.036745407
1400000US53033002000,"Census Tract 20, King County, Washington",1648,1547,0,1456,91,101,3175,75,3.6,32.2,93.87135922,0,88.34951456,5.52184466,6.128640777
1400000US53033002100,"Census Tract 21, King County, Washington",1771,1754,7,1652,95,17,3560,77.4,4.7,75.4,99.04009034,0.395256917,93.28063241,5.364201016,0.959909656
1400000US53033002200,"Census Tract 22, King County, Washington",2338,2248,0,2212,36,90,4707,66.3,4.6,28.3,96.15055603,0,94.61077844,1.539777588,3.849443969
1400000US53033002400,"Census Tract 24, King County, Washington",1295,1261,8,1226,27,34,2553,72.4,5.9,38.3,97.37451737,0.617760618,94.67181467,2.084942085,2.625482625
1400000US53033002500,"Census Tract 25, King County, Washington",1318,1235,0,1153,82,83,2723,69.9,3.3,13.6,93.70257967,0,87.48103187,6.2215478,6.297420334
1400000US53033002600,"Census Tract 26, King County, Washington",1946,1894,20,1855,19,52,4149,72.8,4.9,31.2,97.327852,1.027749229,95.32374101,0.976361768,2.672147996
1400000US53033002700,"Census Tract 27, King County, Washington",2459,2408,0,2266,142,51,5369,77.4,0.8,0,97.92598617,0,92.15128101,5.774705165,2.074013827
1400000US53033002800,"Census Tract 28, King County, Washington",2160,2130,0,2093,37,30,4019,80.2,2.3,15.2,98.61111111,0,96.89814815,1.712962963,1.388888889
1400000US53033002900,"Census Tract 29, King County, Washington",1967,1922,0,1822,100,45,3798,77.5,4.8,39.5,97.71225216,0,92.62836807,5.083884087,2.287747839
1400000US53033003000,"Census Tract 30, King County, Washington",2627,2475,0,2429,46,152,5013,77,3.7,0,94.21393224,0,92.46288542,1.751046821,5.786067758
1400000US53033003100,"Census Tract 31, King County, Washington",2778,2694,0,2672,22,84,5085,72.7,4.1,32.1,96.9762419,0,96.18430526,0.791936645,3.023758099
1400000US53033003200,"Census Tract 32, King County, Washington",4402,4201,14,4046,141,201,7748,74.9,1.6,0,95.43389368,0.318037256,91.91276692,3.203089505,4.566106315
1400000US53033003300,"Census Tract 33, King County, Washington",3382,3258,0,3181,77,124,6416,82.5,5.2,0,96.33353046,0,94.05677114,2.276759314,3.666469545
1400000US53033003400,"Census Tract 34, King County, Washington",1560,1524,0,1480,44,36,3045,81.8,4.1,7.8,97.69230769,0,94.87179487,2.820512821,2.307692308
1400000US53033003500,"Census Tract 35, King County, Washington",1921,1836,9,1768,59,85,3535,71.1,2.8,18.6,95.57522124,0.468505986,92.03539823,3.071317022,4.424778761
