id,county,registeredVoters,turnout,pop2020,LessThan9,SomeHighSchool,HighSchoolGrad,SomeCollege,Associates,Bachelors,GradorProfDegree
1,Alcona,9929,71.53,10287,2.977252453,9.522747547,39.40677966,24.89964318,8.206958073,9.890722569,5.095896521
2,Alger,7638,67.57,8919,4.401703885,8.44197754,44.39137731,19.72376404,7.112430618,10.73964115,5.18910546
3,Allegan,94475,71.43,119788,2.793729994,6.388862738,38.30140275,22.91470533,8.407079646,14.07809264,7.116126906
4,Alpena,24982,68.29,28099,2.380225816,6.212127817,33.28828632,28.18344304,13.75386896,10.41893718,5.763110859
5,Antrim,22116,81.66,23447,1.968124933,6.963311584,32.70938068,22.67622206,9.113274147,16.46700182,10.10268478
6,Arenac,12785,69.49,14752,2.866628877,10.49477691,42.43258563,23.0383027,10.07369018,7.385213378,3.708802332
7,Baraga,6713,60.61,8244,2.575976845,9.79739508,43.77713459,20.60781476,9.623733719,9.030390738,4.587554269
8,Barry,50103,72.17,62023,1.590194164,6.206746936,38.6397657,24.91810392,10.08352316,12.77795856,5.78370756
9,Bay,85162,63.76,102600,2.668459367,7.878193248,34.85591773,25.99052776,10.80829003,12.29332461,5.505287256
10,Benzie,16574,74.85,17726,2.297230639,5.003171024,31.71023888,23.761539,9.696286379,17.03896836,10.49256571
11,Berrien,135628,61.19,153154,2.476707873,8.37218959,29.89091412,24.7073886,9.960466102,15.20973728,9.382596434
12,Branch,33936,60.92,43196,4.171250458,7.764943161,41.02493583,25.30558611,8.544187752,9.149248258,4.039848429
13,Calhoun,106856,61.86,133910,2.167865517,6.903986011,36.51591623,27.01486309,8.331677463,13.02607002,6.039621667
14,Cass,44770,58.83,51382,2.548941667,10.01440922,33.54367485,26.62227964,9.602007354,11.98698201,5.681705257
15,Charlevoix,23850,71.71,26137,0.926548248,5.684109458,30.36485838,24.3831013,9.644743159,17.22995679,11.76668267
16,Cheboygan,22697,70.18,25142,2.371089844,7.208494025,37.98028853,25.41065562,7.975051183,12.07446555,6.979955244
17,Chippewa,26357,67.39,37209,2.397938962,8.5810543,34.12604043,29.2508918,7.197119831,13.00039635,5.44655833
18,Clare,25415,64.43,30510,5.177847816,10.43346568,37.94359625,26.85522492,8.272277025,7.118005812,4.199582498
19,Clinton,62598,77.01,80044,1.086402988,4.936343575,27.42318791,27.33831268,10.41928365,18.92208454,9.874384655
20,Crawford,12078,65.47,14068,2.203465127,9.480231008,34.58018658,26.27276766,9.604620169,11.55930697,6.299422479
21,Delta,31525,67.36,35411,2.004035906,4.696959154,33.45626609,26.89096096,13.18279869,13.53420082,6.234778373
22,Dickinson,23492,56.72,24973,1.075585679,5.456509995,33.43156034,24.84160896,10.35803742,16.78699474,8.049702863
23,Eaton,88360,73.5,109759,1.702178312,4.792286633,28.54184026,29.82502083,10.49279848,16.42304488,8.222830615
24,Emmet,30743,72.56,33475,1.165625476,5.462440957,25.47234496,26.02849307,10.46777388,19.98704861,11.41627305
25,Genesee,350549,63.87,402627,2.173599608,8.209952292,32.27398121,28.0030374,10.21854544,12.42001993,6.700864121
26,Gladwin,22010,66.71,24931,4.044767328,9.846848616,39.70645985,24.76438249,8.590221873,7.839191047,5.208128804
27,Gogebic,14401,57.75,13914,1.583745365,6.41223733,37.77039555,24.90729295,11.13257108,12.88627936,5.307478368
28,Grand Traverse,81351,74.57,92925,0.991369093,4.146739358,24.95712433,26.36260963,10.63595421,20.75879474,12.14740864
29,Gratiot,28454,67.67,40609,3.084714549,6.562308165,39.25414365,29.85267035,8.591160221,7.943523634,4.711479435
30,Hillsdale,36737,63.79,45929,3.673711238,8.46759403,37.6541294,26.24079456,8.312406535,10.20851556,5.442848678
31,Houghton,26815,69.49,36230,1.588667743,5.397166936,31.85942263,28.68925946,7.064730142,15.31647839,10.0842747
32,Huron,26302,70.55,30541,4.045532067,7.353349463,41.88712172,22.25835878,9.760837663,10.09003292,4.604767382
33,Ingham,214975,67.72,296058,1.561755053,4.847735825,21.74838802,32.67697036,8.099926402,18.73689473,12.32832961
34,Ionia,47155,68.65,64393,2.421208142,8.381894288,39.8309258,24.66349311,9.432452397,11.17449114,4.095535128
35,Iosco,22697,68.15,24979,2.457357618,9.718608461,37.49156789,25.46015226,9.549966272,9.728245158,5.594102342
36,Iron,10556,64.79,10922,1.223832528,8.158883521,43.54267311,21.10574342,8.266237252,11.21846484,6.484165325
37,Isabella,46534,63.66,72062,1.944624665,5.162285855,27.36151782,37.53002858,7.140226902,12.57079731,8.290518859
38,Jackson,122953,66.18,158056,1.950532222,7.894972595,33.36509565,27.86288451,9.646786712,13.4395335,5.840194809
39,Kalamazoo,211535,68.25,267738,1.382742245,4.864100232,22.23148429,29.99595837,9.391229666,20.26169546,11.87278973
40,Kalkaska,16128,66.16,17960,2.632933735,11.61285578,41.63418401,24.99816136,7.832610135,7.383981761,3.905273222
41,Kent,502697,72.03,668535,2.011135897,6.016721409,25.09858079,24.81162068,8.807940913,22.51528112,10.7387192
42,Keweenaw,2063,75.91,2024,1.408450704,2.816901408,32.78873239,21.46478873,12.33802817,17.63380282,11.54929577
43,Lake,10046,63.6,11924,3.934257833,14.42218798,41.89008731,20.87313816,8.412942989,6.687211094,3.780174628
44,Lapeer,72365,73.17,88350,1.984260738,7.377229362,36.15194103,27.20518194,10.69507745,11.30471738,5.281592098
45,Leelanau,21421,79.41,21762,1.251550344,3.856128087,22.20092457,22.68012177,9.910925696,23.72871801,16.37163153
46,Lenawee,79475,67.54,98666,1.978898745,7.269959582,36.60962679,26.69676132,8.279092961,12.72374154,6.441919059
47,Livingston,162092,78.87,194008,1.009118625,4.433086399,26.71439805,26.14810523,9.482128323,21.58810302,10.62506035
48,Luce,4580,82.86,6329,3.341607791,10.88409395,38.99178919,24.95703647,7.084208516,11.09413787,3.647126217
49,Mackinac,10175,68.53,10468,2.820715333,8.022114408,34.15322126,25.8828839,8.665237504,12.20805596,8.247771635
50,Macomb,696294,71.73,883019,2.653918204,6.989357018,30.27780377,26.80982094,10.44936184,15.24338323,7.576354997
51,Manistee,21077,70.11,24391,2.224894768,8.774303468,36.14952896,23.08578874,11.06935258,12.10162357,6.594507917
52,Marquette,55061,68.5,66553,1.292793871,3.753153717,29.77293236,29.28122871,8.660982302,19.22432368,8.014585367
53,Mason,24851,69.96,29380,2.085445968,6.234293021,33.94471143,25.40893259,10.93867113,13.18724924,8.200696618
54,Mecosta,31482,67.21,43585,2.591432758,7.300255696,33.44729508,28.0230988,10.80817077,11.00353377,6.826213118
55,Menominee,20430,62.05,22626,1.736074129,6.496964533,42.65629993,22.98434338,10.39514325,10.89572904,4.835445734
56,Midland,69857,70.74,83498,1.4657084,4.777706135,30.33481687,23.05974492,9.884095806,19.06521773,11.41271015
57,Missaukee,12151,72.32,15061,2.727113294,8.602244826,42.79200281,22.69379165,10.86460891,8.654857945,3.665380568
58,Monroe,131275,66.78,149610,1.735912997,7.368985252,35.97437626,26.27729654,10.79672182,11.96206581,5.88464132
59,Montcalm,48216,66.92,64457,2.95785978,9.688331511,39.80115922,26.38353169,9.131412306,8.458983932,3.578721561
